playId,gameId,playSequence,quarter,possessionTeamId,nonpossessionTeamId,playType,playType2,playTypeDetailed,playNumberByTeam,gameClock,gameClockSecondsExpired,gameClockStoppedAfterPlay,down,distance,fieldPosition,distanceToGoalPre,noPlay,playDescription,playStats,playDescriptionFull,typeOfPlay,changePossession,turnover,safety,offensiveYards,netYards,firstDown,efficientPlay,evPre,evPost,evPlay,fourthDownConversion,thirdDownConversion,scorePossession,scoreNonpossession,homeScorePre,visitingScorePre,homeScorePost,visitingScorePost,distanceToGoalPost,fieldGoalProbability,huddle,formation
30298,26909,1,1,2200,3200,kickoff,"kickoff, returned","kickoff, returned",1,(15:00),9,1,0,0,IND 30,70.0,0,13-M.Vanderjagt kicks 65 yards from IND 30 to NE 5. 81-B.Johnson pushed ob at NE 37 for 32 yards (27-V.Hutchins).,"Kickoff Yards: IND 13 (M.Vanderjagt), 65 yards Kickoff Return Yards: NE 81 (B.Johnson), 32 yards Solo Tackle: IND 27 (V.Hutchins)","13-M.Vanderjagt kicks 65 yards from IND 30 to NE 5. 81-B.Johnson pushed ob at NE 37 for 32 yards (27-V.Hutchins). Kickoff Yards: IND 13 (M.Vanderjagt), 65 yards Kickoff Return Yards: NE 81 (B.Johnson), 32 yards Solo Tackle: IND 27 (V.Hutchins)",S,0,0,0,0,33,0,0,0.0,-0.8536519999999994,-0.8536519999999994,0,0,0,0,0,0,0,0,,,,
30299,26909,2,1,3200,2200,pass,"pass, complete","pass, complete",1,(14:51),46,0,1,10,NE 37,63.0,0,(14:51) 12-T.Brady pass to 87-D.Givens to IND 44 for 19 yards (30-D.Strickland).,"1st Down Passing: NE Passing Yards: NE 12 (T.Brady), 19 yards Pass Reception Yards: NE 87 (D.Givens), 19 yards Solo Tackle: IND 30 (D.Strickland)","(14:51) 12-T.Brady pass to 87-D.Givens to IND 44 for 19 yards (30-D.Strickland). 1st Down Passing: NE Passing Yards: NE 12 (T.Brady), 19 yards Pass Reception Yards: NE 87 (D.Givens), 19 yards Solo Tackle: IND 30 (D.Strickland)",O/D,0,0,0,19,19,1,1,0.8536519999999994,2.0800259999999997,1.2263740000000003,0,0,0,0,0,0,0,0,44.0,0.26,huddle,
30300,26909,3,1,3200,2200,pass,"pass, complete","pass, complete",2,(14:05),38,0,1,10,IND 44,44.0,0,"(14:05) (No Huddle, Shotgun) 12-T.Brady pass to 83-D.Branch to IND 30 for 14 yards (20-M.Doss, 28-I.Bashir).","1st Down Passing: NE Passing Yards: NE 12 (T.Brady), 14 yards Pass Reception Yards: NE 83 (D.Branch), 14 yards Assisted Tackle: IND 20 (M.Doss) Tackle Assist: IND 28 (I.Bashir)","(14:05) (No Huddle, Shotgun) 12-T.Brady pass to 83-D.Branch to IND 30 for 14 yards (20-M.Doss, 28-I.Bashir). 1st Down Passing: NE Passing Yards: NE 12 (T.Brady), 14 yards Pass Reception Yards: NE 83 (D.Branch), 14 yards Assisted Tackle: IND 20 (M.Doss) Tackle Assist: IND 28 (I.Bashir)",O/D,0,0,0,14,14,1,1,2.0800259999999997,2.9836699999999996,0.9036439999999999,0,0,0,0,0,0,0,0,30.0,0.74,no huddle,shotgun
